FID,ID,Lat,Long,POINT_X,POINT_Y,TWI,TPI,Slope,ProfCurv,PlnCurv,DEM,05022020,06192020,07052020,08062020,08222020,09072020,10092020,05052021,06222021,08252021,09102021,09262021,05162022,06092022,06172022,07032022,07192022,09212022,09292022,10232022,10152022,05032023,05112023,05272023,06042023,06202023,07142023,07222023,07302023,08232023,08312023
0,3DE430,41.85831311,-88.22019203,896780.666984,4645101.77806,9.46115016937256,0.0190657004714012,0.249882996082306,-0.000485902011860162,0.0126058999449015,225.429000854492,0.126733005046844,0.184064000844955,0.352863997220993,0.513306021690369,0.498019009828568,0.377916008234024,0.125250995159149,0.0973035991191864,0.371100008487701,0.412413001060486,0.362464994192123,0.183372005820274,0.117283999919891,0.126941993832588,0.166539996862412,0.301180005073547,0.471886992454529,0.161362007260323,0.228147000074387,0.123447000980377,0.131066992878914,0.111524000763893,0.0989895015954971,0.197751998901367,0.127810999751091,0.219336003065109,0.419052988290787,0.452356994152069,0.493322998285294,0.450257003307343,0.445275992155075
1,3DE868,41.85948317,-88.222711,896564.262276,4645220.06744,9.33763027191162,-0.0837737992405891,0.152517005801201,-0.000397183990571648,-0.120555996894836,225.617004394531,0.131944999098778,0.190443992614746,0.323385000228882,0.537492990493774,0.46382200717926,0.338899999856949,0.127645000815392,0.134020999073982,0.343948006629944,0.395393997430801,0.349462002515793,0.194700002670288,0.152462005615234,0.163828000426292,0.20567299425602,0.264899998903275,0.434671014547348,0.162073999643326,0.209391996264458,0.133327007293701,0.143895000219345,0.145593002438545,0.140167996287346,0.163762003183365,0.148500993847847,0.219543993473053,0.38858899474144,0.439606994390488,0.47613599896431,0.417939990758896,0.438109010457993
2,3DE9A0,41.86179628,-88.22057489,896727.291452,4645486.87499,8.46115970611572,0.0854644998908043,1.1379599571228,-5.46273004147224E-05,-0.0065693398937583,225.408004760742,0.120651997625828,0.199165999889374,0.36335900425911,0.508222997188568,0.45974400639534,0.335987001657486,0.11523199826479,0.111024998128414,0.349913001060486,0.402855008840561,0.364414989948273,0.182904005050659,0.123903997242451,0.128885000944138,0.166119992733002,0.272828012704849,0.443542987108231,0.160725995898247,0.17765499651432,0.118873000144959,0.122932001948357,0.120173998177052,0.110950998961926,0.162982001900673,0.142682000994682,0.216664999723434,0.41049799323082,0.451952993869782,0.483814001083374,0.432857990264893,0.447667986154556
3,3DE9B7,41.86144356,-88.22467042,896389.430805,4645428.73352,8.84665012359619,0.10716400295496,1.12390995025635,0.000145161000546068,-0.0127280000597239,225.339996337891,0.12372799962759,0.210901007056236,0.39529100060463,0.263265013694763,0.483112990856171,0.247287005186081,0.104561999440193,0.0930221006274223,0.411127001047134,0.426221996545792,0.339060992002487,0.168566003441811,0.11345399916172,0.132195994257927,0.166323006153107,0.287431001663208,0.475318998098373,0.146491006016731,0.160016998648644,0.11999399960041,0.121330998837948,0.105774000287056,0.0919694975018501,0.166594997048378,0.126544997096062,0.239804998040199,0.439310997724533,0.466015011072159,0.498688012361527,0.461578011512756,0.45515900850296
4,3DE9BB,41.85721434,-88.22174429,896658.585694,4644972.54876,9.74429988861084,-0.00977309979498386,0.0519519001245499,3.69990011677146E-05,-0.260955005884171,225.522003173828,0.119345001876354,0.167742997407913,0.308542996644974,0.0549621991813183,0.521143972873688,0.41712498664856,0.129604995250702,0.105587996542454,0.340719014406204,0.410881996154785,0.375120997428894,0.186620995402336,0.124228999018669,0.128834992647171,0.161327004432678,0.280930012464523,0.467076003551483,0.147956997156143,0.134296998381615,0.120332002639771,0.124982997775078,0.119245000183582,0.106508001685143,0.19131900370121,0.132680997252464,0.213340997695923,0.422904014587402,0.459253013134003,0.29423800110817,0.455370992422104,0.456535011529923
5,3DF58A,41.85832891,-88.22383238,896478.300702,4645086.67344,8.96278953552246,-0.0744275972247124,0.620675981044769,-0.000349237001501024,0.00213617994450033,225.546997070313,0.12083899974823,0.190761998295784,0.352272003889084,0.096671499311924,0.496793001890183,0.291819989681244,0.111378997564316,0.109406001865864,0.373349010944366,0.418563008308411,0.376186013221741,0.183575004339218,0.125957995653152,0.134129002690315,0.168283998966217,0.284141004085541,0.475268989801407,0.15786799788475,0.17959700524807,0.123070001602173,0.129118993878365,0.12406600266695,0.111717998981476,0.172162994742394,0.132671996951103,0.209398999810219,0.429385989904404,0.467545986175537,0.22087199985981,0.315454006195068,0.463088005781174
6,3DF593,41.85856094,-88.22256478,896582.11576,4645118.31382,9.1367301940918,-0.00901865959167481,0.45940700173378,-0.000296279002213851,-0.0386027991771698,225.544006347656,0.118877999484539,0.177924007177353,0.333000987768173,0.12652899324894,0.502000987529755,0.395750999450684,0.123179003596306,0.108280003070831,0.338813006877899,0.407202988862991,0.384288012981415,0.193116992712021,0.137633994221687,0.129749998450279,0.162720993161201,0.261801987886429,0.449366003274918,0.164088994264603,0.195432007312775,0.122689999639988,0.128709003329277,0.123103000223637,0.10988599807024,0.172545000910759,0.133619993925095,0.2012609988451,0.417342990636826,0.457560986280441,0.350511014461517,0.430139988660812,0.459266990423203
7,3DF594,41.86030628,-88.22014742,896772.018254,4645323.36327,8.97360992431641,0.0780922994017601,0.396676987409592,3.07314003293868E-05,-0.0736019983887672,225.912002563477,0.127413004636765,0.190433993935585,0.355203986167908,0.526430010795593,0.472707986831665,0.342606991529465,0.116461001336575,0.10963000357151,0.342195987701416,0.412896007299423,0.384232014417648,0.192365005612373,0.133494004607201,0.127254992723465,0.159465000033379,0.266140997409821,0.444849997758865,0.167145997285843,0.185755997896194,0.121298998594284,0.126568004488945,0.122676998376846,0.112738996744156,0.169297993183136,0.1424870043993,0.208602994680405,0.406819999217987,0.448083013296127,0.483420997858048,0.444799989461899,0.44532299041748
8,3DF5FF,41.86218337,-88.22677299,896210.278359,4645501.17296,9.43360996246338,0.0714355036616325,0.63764101266861,-0.000397844996768981,0.0751757025718689,224.326995849609,0.127499997615814,0.205265000462532,0.360128998756409,0.243957996368408,0.486862987279892,0.257663995027542,0.107749000191689,0.111138999462128,0.405295997858048,0.431324988603592,0.376085013151169,0.176990002393723,0.1492840051651,0.131775006651878,0.165044993162155,0.26469698548317,0.465115010738373,0.138441994786263,0.185615003108978,0.122763998806477,0.123626999557018,0.119671002030373,0.109084002673626,0.198819994926453,0.137544006109238,0.225860998034477,0.439642012119293,0.472479999065399,0.49855300784111,0.445582002401352,0.461208999156952
9,3DF617,41.85918825,-88.23558688,895496.984658,4645127.76856,9.17632007598877,0.0387861989438534,0.728460013866425,-1.44010000440176E-05,-0.0280604008585215,225.10400390625,0.135165005922318,0.173534005880356,0.333474010229111,0.277016013860703,0.503453016281128,0.315916001796722,0.117857001721859,0.103143997490406,0.434819996356964,0.435416013002396,0.365009009838104,0.153240993618965,0.127663001418114,0.122273996472359,0.176366001367569,0.299095988273621,0.452050000429153,0.189988002181053,0.242706999182701,0.122899003326893,0.132071003317833,0.111023999750614,0.0966318994760513,0.174031004309654,0.128187000751495,0.232196003198624,0.465602993965149,0.487491011619568,0.509518980979919,0.472020000219345,0.467759996652603
10,3DF628,41.85717083,-88.22001742,896802.24469,4644975.71567,9.07001972198486,-0.0199698004871607,0.764203011989594,-0.000724376004654914,0.0217576995491982,225.354995727539,0.12202599644661,0.144546002149582,0.22563299536705,0.0792621001601219,0.375496000051498,0.34919399023056,0.133245006203651,0.101111002266407,0.376763999462128,0.420302003622055,0.393290013074875,0.192312002182007,0.1188879981637,0.132807999849319,0.188363000750542,0.309760987758637,0.491052985191345,0.168455004692078,0.114634998142719,0.126157999038696,0.135857000946999,0.113881997764111,0.103794001042843,0.194064006209373,0.132017999887466,0.206902995705605,0.419284999370575,0.453106999397278,0.390980988740921,0.449963003396988,0.449440002441406
11,3DF675,41.86079141,-88.22296286,896535.246775,4645364.20547,9.82658004760742,0.00729962019249797,0.165186002850533,0.000307098001940176,0.00641026999801397,225.720993041992,0.133524999022484,0.217029005289078,0.394219994544983,0.522162020206451,0.479598999023438,0.315394014120102,0.113678999245167,0.111697003245354,0.358469009399414,0.409117013216019,0.391678988933563,0.194874003529549,0.131730005145073,0.136141002178192,0.16933000087738,0.277334004640579,0.463699012994766,0.158444002270699,0.171565994620323,0.122510001063347,0.125407993793488,0.126194998621941,0.11149799823761,0.167882993817329,0.134711995720863,0.224978998303413,0.430967003107071,0.46399798989296,0.496933996677399,0.437700003385544,0.457632005214691
12,3DF687,41.85795417,-88.22769014,896160.299115,4645027.19936,10.5806999206543,-0.0148224998265505,0,0,0,225.522994995117,0.120293997228146,0.164436995983124,0.274313002824783,0.113521002233028,0.489398986101151,0.28863400220871,0.115878999233246,0.100216999650002,0.395029991865158,0.415518999099731,0.320946007966995,0.163328006863594,0.125712007284164,0.139284998178482,0.154550999403,0.245828002691269,0.450455009937286,0.171348005533218,0.193580999970436,0.126920998096466,0.0892252027988434,0.120460003614426,0.102799996733665,0.193761005997658,0.129740998148918,0.224770992994308,0.45176699757576,0.480372995138168,0.492974996566772,0.473679006099701,0.468178004026413
13,3DFF51,41.85977077,-88.22538956,896340.077639,4645239.61081,10.3410997390747,0.00931324996054173,0.0131048001348972,4.17859009758104E-05,-0.248998001217842,225.822998046875,0.120660997927189,0.202297002077103,0.385598987340927,0.300166994333267,0.479299008846283,0.229498997330666,0.100198000669479,0.10555599629879,0.403816998004913,0.430153995752335,0.371248990297318,0.174242004752159,0.135167002677917,0.132496997714043,0.166967004537582,0.293864995241165,0.479425996541977,0.147291004657745,0.158252000808716,0.121274001896381,0.121381998062134,0.118848003447056,0.105417996644974,0.173283994197845,0.129695996642113,0.226854994893074,0.441776007413864,0.471542000770569,0.496030002832413,0.459221988916397,0.462282001972199
14,3DFF5B,41.85813108,-88.22549224,896341.70264,4645057.01776,10.1368999481201,0.0301668997853994,0.0846863016486168,0.000169371996889822,0,225.623001098633,0.113410003483295,0.20304100215435,0.380840986967087,0.0708343982696533,0.481938004493713,0.254739999771118,0.108000002801418,0.100706003606319,0.403564006090164,0.424109011888504,0.362338006496429,0.172738000750542,0.124793000519276,0.135367006063461,0.172342002391815,0.301400989294052,0.484577000141144,0.14384900033474,0.158013001084328,0.121821001172066,0.104360997676849,0.114486001431942,0.103050999343395,0.179214999079704,0.128622993826866,0.226283997297287,0.445369988679886,0.473989993333817,0.293915003538132,0.446305006742477,0.462922006845474
15,3DFF73,41.85983839,-88.22060876,896736.612639,4645269.25805,9.13770961761475,-0.166160002350807,0.155182003974915,-0.000310362986056134,0,225.522994995117,0.134626999497414,0.212990000844002,0.408295005559921,0.548371970653534,0.490278989076614,0.341520011425018,0.118166998028755,0.104888997972012,0.374953001737595,0.416593998670578,0.395779013633728,0.195430994033813,0.12457700073719,0.127770006656647,0.168565005064011,0.293579995632172,0.475048989057541,0.172175005078316,0.233504995703697,0.123627997934818,0.131577000021935,0.117577999830246,0.10657399892807,0.180634006857872,0.130207002162933,0.224630996584892,0.426335006952286,0.462754994630814,0.498425990343094,0.46239098906517,0.455040991306305
16,3DFF9A,41.8597615,-88.22258114,896573.320616,4645251.58248,9.23462963104248,0.00739646004512906,0.360293000936508,-0.000616694975178689,0.00184872001409531,225.718994140625,0.121269002556801,0.190252006053925,0.351213991641998,0.545378983020783,0.483305007219315,0.337177008390427,0.115665003657341,0.117503002285957,0.343010008335114,0.401160001754761,0.372783005237579,0.194315999746323,0.136962994933128,0.139330998063087,0.176208004355431,0.27020600438118,0.453148007392883,0.162128001451492,0.189482003450394,0.125742003321648,0.126828998327255,0.127827003598213,0.118588998913765,0.16958099603653,0.136389002203941,0.213190004229546,0.414775997400284,0.454019010066986,0.49413201212883,0.410441994667053,0.455020010471344
17,3DFFF0,41.85977492,-88.22418737,896439.870809,4645245.63621,9.40767955780029,-0.00440208008512855,0.557416021823883,-0.000475200009532273,-0.0717635005712509,225.835006713867,0.125992998480797,0.198699995875359,0.36727699637413,0.414259999990463,0.478832006454468,0.231769993901253,0.099821500480175,0.104907996952534,0.388388991355896,0.418496012687683,0.35971599817276,0.172198995947838,0.121082000434399,0.128448992967606,0.163567006587982,0.274432986974716,0.464520007371902,0.14767299592495,0.148462995886803,0.120880998671055,0.118772000074387,0.12041100114584,0.106957003474236,0.165243998169899,0.131676003336906,0.218232005834579,0.432875007390976,0.464037001132965,0.481337010860443,0.465131014585495,0.460992008447647
18,3DFFF7,41.85844808,-88.22921114,896030.950506,4645075.02251,10.5806999206543,-0.0140632996335626,0,0,0,225.522994995117,0.12372600287199,0.198412999510765,0.362419992685318,0.329852998256683,0.484048992395401,0.241842001676559,0.106252998113632,0.106972999870777,0.406722992658615,0.426279991865158,0.362029999494553,0.172631993889809,0.150209993124008,0.136619001626968,0.167758002877235,0.294557988643646,0.475634008646011,0.142875999212265,0.173958003520966,0.125186994671822,0.127789005637169,0.120609998703003,0.10768000036478,0.212001994252205,0.134222000837326,0.229699999094009,0.451328992843628,0.508055984973908,0.205707997083664,0.473879992961884,0.469310998916626
19,3E0442,41.86158479,-88.22613089,896267.295703,4645437.6606,9.00269985198975,-0.0643606036901474,1.07860004901886,-5.55199003429152E-05,-0.00956442020833492,224.820007324219,0.129899993538857,0.214993000030518,0.392939001321793,0.254348009824753,0.501541018486023,0.290578007698059,0.117058001458645,0.090686097741127,0.433952003717423,0.432954013347626,0.345777988433838,0.167568996548653,0.116301998496056,0.13044199347496,0.172572001814842,0.299338012933731,0.503760993480682,0.161440998315811,0.187014997005463,0.12431800365448,0.12950100004673,0.1007129997015,0.0880824998021126,0.199799999594688,0.122529000043869,0.240109995007515,0.466466993093491,0.484234005212784,0.514039993286133,0.461495995521545,0.468865990638733
20,3E044D,41.86082547,-88.22758394,896151.349945,4645346.6014,8.99796962738037,0.0747973024845123,1.02386999130249,0.000234787003137171,-0.000371698988601565,225.444000244141,0.119997002184391,0.211496993899345,0.384988009929657,0.256179988384247,0.503883004188538,0.279013007879257,0.112704001367092,0.0942220017313957,0.430265992879868,0.432954013347626,0.350495994091034,0.168622002005577,0.116103999316692,0.132548004388809,0.166756004095078,0.297618985176086,0.495943009853363,0.161276996135712,0.186373993754387,0.124277003109455,0.136677995324135,0.105219997465611,0.0934313982725143,0.20032499730587,0.123320996761322,0.245088994503021,0.467103987932205,0.424636989831924,0.514024019241333,0.475591987371445,0.469687014818192
21,3E0456,41.8571498,-88.22443818,896435.300269,4644952.90711,10.5806999206543,-1.16778001029161E-05,0,0,0,225.522994995117,0.107822999358177,0.159957006573677,0.272002011537552,0.0268689002841711,0.439173012971878,0.284512013196945,0.111014001071453,0.088067501783371,0.417436987161636,0.422582000494003,0.338932007551193,0.170892000198364,0.111215002834797,0.139391005039215,0.192074000835419,0.290829002857208,0.478531002998352,0.151847004890442,0.17918099462986,0.121573001146317,0.129398003220558,0.105502001941204,0.0910373032093048,0.188240006566048,0.127896994352341,0.230305001139641,0.434816002845764,0.471359014511108,0.230141997337341,0.451393991708756,0.455006003379822
